timestamp,altitudeAboveGroundLevel,pressure
98.09362,-0.816474915,100533.094
98.113608,-0.753059387,100532.32
98.133608,-0.800621033,100532.906
98.153612,-0.766273499,100532.484
98.173616,-0.737205505,100532.133
98.193608,-0.69229126,100531.594
98.213608,-0.739852905,100532.18
98.233612,-0.768913269,100532.523
98.253612,-0.755706787,100532.375
98.273608,-0.787414551,100532.727
98.293612,-0.784767151,100532.711
98.313612,-0.774200439,100532.578
98.333612,-0.78212738,100532.68
98.353612,-0.784767151,100532.711
98.373608,-0.821762085,100533.148
98.393608,-0.871963501,100533.75
98.413608,-0.922172546,100534.344
98.433624,-0.961807251,100534.82
98.453608,-0.964447021,100534.867
98.473612,-0.932739258,100534.477
98.493608,-0.932739258,100534.477
98.513616,-0.956520081,100534.773
98.533616,-0.969734192,100534.906
98.553612,-0.94859314,100534.656
98.573608,-0.911598206,100534.227
98.593608,-0.890464783,100533.977
98.613612,-0.890464783,100533.977
98.63362,-0.895744324,100534.047
98.653616,-0.906318665,100534.164
98.673608,-0.943305969,100534.609
98.693612,-0.935379028,100534.5
98.713612,-0.924812317,100534.383
98.73362,-0.935379028,100534.516
98.753616,-0.911598206,100534.219
98.773608,-0.856109619,100533.57
98.793608,-0.832328796,100533.273
98.813612,-0.845542908,100533.445
98.833612,-0.86403656,100533.648
98.853612,-0.887817383,100533.938
98.873612,-0.890464783,100533.969
98.893612,-0.911598206,100534.211
98.913612,-0.908958435,100534.188
98.93362,-0.967086792,100534.898
98.953616,-0.982940674,100535.086
98.97362,-0.998794556,100535.25
98.993612,-1.02786255,100535.625
99.013612,-1.08863831,100536.344
99.033616,-1.09920502,100536.453
99.053612,-1.1150589,100536.641
99.073616,-1.14412689,100537
99.093612,-1.15205383,100537.109
99.113612,-1.14147949,100536.969
99.133616,-1.14147949,100536.953
99.153616,-1.15998077,100537.188
99.173612,-1.13091278,100536.844
99.193612,-1.1546936,100537.133
99.213612,-1.1546936,100537.133
99.23362,-1.19961548,100537.664
99.253616,-1.14676666,100537.031
99.273628,-1.08071136,100536.25
99.293624,-1.05693054,100535.969
99.313616,-0.977661133,100535.016
99.33362,-0.94859314,100534.656
99.35362,-0.95388031,100534.719
99.373612,-0.871963501,100533.75
99.393612,-0.858757019,100533.586
99.413616,-0.871963501,100533.742
99.43362,-0.821762085,100533.156
99.45362,-0.803268433,100532.938
99.473612,-0.760986328,100532.422
99.493616,-0.731925964,100532.094
99.51362,-0.723999023,100531.984
